titulo,estado,fecha_cierre,link_inscripcion,descripcion
Semillero 2026,Cerrada,28/02/2026,#,Busqueda de estudiantes de primeros semestres para fortalecer su formacion academica.
ayuda pagina web,abierta,09/04/2026,#,"Convocatoria de Apoyo en Programación Web
Se buscan estudiantes de Ingeniería Electrónica, Mecatrónica o Sistemas interesados en apoyar en el desarrollo y programación de una página web.
Requisitos:
- Conocimientos básicos en programación web (HTML, CSS, JavaScript o similares).
- Interés en aprender y aportar en proyectos prácticos.
- Compromiso y responsabilidad en el trabajo en equipo."
